Question,Answer,Class
Hello,Hi,greetings
Hi,Hello,greetings
Hey,Hi,greetings
Greetings,Hi,greetings
Hey There,Hey,greetings
"Hi, How is it going?",Good,greetings
"Hey, How is it going?",Fine,greetings
Howdy,Hey,greetings
Whatsup,Nothing much,greetings
How are you doing?,Good,greetings
Nice to meet you.,Thank you,greetings
"Hi, nice to meet you.",Thank you. You too.,greetings
Bye,C U,greetings
Good Morning,Good Morning,greetings
Good Afternoon,Good Afternoon,greetings
Good Evening,Good Evening,greetings
Good Day,Good Day,greetings
What's up?,Not much,greetings
I am good too,Glad to hear that! How can I assit you today,greetings
Thank you,Thank you. Is there something else I can assit you with  ?,greetings
Hello,Hi,greetings
Hi,Hello,greetings
Hey,Hey there!,greetings
Good morning,Good morning! How can I assist you today?,greetings
Good afternoon,Good afternoon! How may I help you?,greetings
Good evening,Good evening! What can I do for you?,greetings
How are you?,"I'm doing well, thank you. How about you?",greetings
I am well,That's great to hear! How can I assist you today?,greetings
What's up?,"Not much, just here to help. How can I assist you?",greetings
How's it going?,"It's going well, thank you for asking. How can I assist you today?",greetings
Howdy,Howdy! How can I assist you today?,greetings
What can I do for you?,"You can ask me anything, I'm here to help.",greetings
Can you help me?,"Absolutely, I'm here to assist you.",greetings
 ,how can I assist today,greetings
